"Reference","Year","peer.review","search","Location","USA","Global.Region","Method","Conventional..Molecular..or.Immunologic","MDL.ALOD.LOD","Below.MDL","MDL.units","Sample.Volume","kingdom","class","order","family","genius","Animal.common.name","Animal.Latin.Name","X","Free.captive","Pathogen1"
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Falconiformes","Falconidae","Falco","Peregrine falcon"," Falco peregrinus","","free","Giardia spp."
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Columbiformes","Columbidae","Columba","Pigeon","Columba livia","","free","Giardia spp."
"Waters et al. ",2019,"yes","Web of Science","Australia, SE Queensland, Brisbane","no","Western Pacific","PCR (Blastocystis spp., Cryptosporidium spp., Dientamoeba fragilis, Entamoeba histolytica, and Giardia spp.), EasyScreen? Enteric Parasite Detection Kit","Molecular",NA,NA,"",NA,NA,"Mammal","Possum","","","","","Possum (order)","free","Giardia spp."
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Mammal","Carnivora","Procyonidae","Procyon","Raccoon","","","free","Giardia spp"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Accipitriformes","Accipitridae","Buteo","Red-tailed hawk","","","free","Giardia spp"
"Kilonzo et al.",2013,"yes","Web of Science","USA, Central Coast, CA","yes","North America","Microscope, immunofluorescence antibody","Conventional",NA,NA,"","0.025-0.1g/rodent",NA,"Mammal","Rodent","","","","","Rodent (order)","free","Giardia"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Anseriformes","Anatidae","Oxyura","Ruddy duck","","","free","Giardia spp"
"Heitman et al.",2002,"yes","review","Canada, North Saskatchewan River Basin in Alberta","no","North America","microscope, flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp","Conventional",NA,NA,"",NA,"Animal","Bird","Anseriformes","Anatidae","Anser","Snow goose","","","free","Giardia spp."
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Pelecaniformes","Ardeidae","Egretta","Snowy egret","","","free","Giardia spp"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Procellariiformes","Procellariidae","Puffinus","Sooty shearwater","","","free","Giardia spp"
"Heitman et al.",2002,"yes","review","Canada, North Saskatchewan River Basin in Alberta","no","North America","microscope, flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp","Conventional",NA,NA,"",NA,NA,"Mammal","","Squirrel","","","","Squirrel (family)","free","Giardia spp."
"Kilonzo et al.",2013,"yes","Web of Science","USA, Central Coast, CA","yes","North America","Microscope, immunofluorescence antibody","Conventional",NA,NA,"","0.025-0.1g/rodent",NA,"Mammal","","Squirrel","","","Sciuridae (including Spermophilus beecheyi)","Squirrel (family)","free","Giardia"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Anseriformes","Anatidae","Melanitta","Surf scoter","","","free","Giardia spp"
