Reference,Year,peer review,search,Location,USA,Global Region,Method,"Conventional, Molecular, or Immunologic",MDL/ALOD/LOD,Below MDL,MDL units,Sample Volume,kingdom,class,order,family,genius,Animal common name,Animal Latin Name,,Free/captive,Pathogen1
Kilonzo et al.,2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,,Mammal,,Muridae,,,Muridae (including Mus musculus and Rattus norvegicus),Muridae (family),free,Giardia
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Mute swan,Cygnus olor,,free,Giardia ssp.
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Northern pintail,Anas acuta,,free,Giardia spp.
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Northern shoveler,Anas clypeata,,free,Giardia ssp.
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Northern shoveler ,Anas clypeata,,free,Giardia spp.
Ahmed et al. ,2019,yes,Web of Science,"Australia, South East Queensland ",no,Western Pacific,qPCR,Molecular,1000,half MDL,gene copies/g,200 mg,,Mammal,Parrot,,,,,Parrot (order),free,Giardia lamblia
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Peregrine falcon, Falco peregrinus,,free,Giardia spp.
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Pigeon,Columba livia,,free,Giardia spp.
Waters et al. ,2019,yes,Web of Science,"Australia, SE Queensland, Brisbane",no,Western Pacific,"PCR (Blastocystis spp., Cryptosporidium spp., Dientamoeba fragilis, Entamoeba histolytica, and Giardia spp.), EasyScreen? Enteric Parasite Detection Kit",Molecular,NA,NA,,NA,,Mammal,Possum,,,,,Possum (order),free,Giardia spp.
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Mammal,,,,Raccoon,,,free,Giardia spp
